Date;Sell Date;Ticker;Buy Price;Sell Price;Confidence Score;Expected P/L (%);Actual P/L (%);Met Expectation;Is Profit;Deviation;Kazanma İhtimali (%);Eğim (Slope);R2;PD/DD (Price to Book);FD/FAVÖK (EV/EBITDA);F/K (Trailing PE);FAVÖK Marjı (EBITDA Margin);ROE;ROA;Ortalama Hacim (Avg Volume);Finansal Güven Skoru;Finansal x Küme Güveni
2025-06-02;2025-06-13;KLRHO.IS;57,25;66,3;0,9414877092749191;1,0877591856995286;0,5246149213990007;False;True;-1,53;0,2605919544467335;0,40188951324159566;0,8078184928435579;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-5,329885574021984
2025-06-03;2025-06-16;KLRHO.IS;61,75;66,5;-0,13036419815345868;-0,005414287467476186;0,1215503745645731;False;True;-4,48;-0,36610069942610746;0,5069431735997665;0,8913298376870232;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;0,7380088473403215
2025-06-04;2025-06-17;ADESE.IS;1,08;1,61;-0,3155182641052366;-0,07307686220895429;2,1939573733745914;True;True;37,59;-0,9971164809851414;0,4290587505569785;0,5806722912342033;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;-24,15261699728408
2025-06-05;2025-06-18;ESEN.IS;9,76;10,26;-1,2304748699944499;-1,4072982578924746;-0,009495241647605334;False;True;-0,5;-0,04436531390397604;-0,6411794066679244;0,7121452926419816;-0,24078824679411692;-0,05386034384682775;;0,08319173946096904;-0,25721226566314376;-0,3681866697494832;1,1515373610335706;24,34088912595112;-29,950852382804023
2025-06-10;2025-06-19;KLRHO.IS;70,0;66,25;0,8078983215210357;0,9312894816098609;-0,5262319328478997;False;False;-21,96;0,2632438713868164;0,42639027176222577;0,9038573761335035;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-4,573618504768146
2025-06-11;2025-06-20;KLRHO.IS;65,5;69,95;0,4210256558527347;0,7875065102842197;0,07687573267405771;False;True;-9,12;-0,684303694537129;0,22105650243482006;0,7950042199642102;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-2,3834815338703166
2025-06-12;2025-06-23;KLRHO.IS;65,25;74,75;0,46507851059917493;0,9608918580592569;0,4625668076621738;False;True;-2,18;-0,9966905680485784;0,029539566623773283;0,6416884830222463;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-2,6328705303431064
2025-06-13;2025-06-24;ADESE.IS;1,34;1,95;1,7412630222418344;1,7559271112716244;2,0212154247312655;True;True;25,46;0,8921002481393825;0,6632260116362517;0,800104628919027;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;133,29199495631474
2025-06-16;2025-06-25;GEDIK.IS;5,53;9,26;-0,020410914226678345;0,6521813608012635;3,0939032150135284;True;True;52,29;-1,9429826647435202;-0,9636373001002752;-0,9834513840893128;-0,22980210098210274;;-0,47094351976295196;-0,35348137870921414;0,8163537775392177;0,15825151967201104;-0,28538808622157036;-9,935136243660493;0,2027852136997176
2025-06-17;2025-06-26;TERA.IS;64,46;64,91;1,6427563264315561;1,6480898827773933;-0,22542267745176292;False;True;-19,29;0,8912824472847586;0,34560515883683146;0,8582757783212087;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-42,44862036893099
